Наименование,2017(1),2018,2019,2020,2021,2022(2),"2023(2, 3)"
Всего,39167,43724.0,47866.8,51344.0,57243.7,65338.3,73709.3
"  сельское, лесное хозяйство, охота, рыболовство и рыбоводство",25671.1,28699.0,31727.6,34770.0,39436.8,46777,52868.3
"    растениеводство и животноводство, охота и предоставление соответствующих услуг в этих областях ",23529.1,25820.0,28395.8,31058.0,35460.2,41993.7,47582.9
    лесоводство и лесозаготовки,27616.6,32701.0,35426.2,37855.0,42151.8,48327.2,52416.3
    рыболовство и рыбоводство,68032,75766.0,88603.8,94983.0,101547.4,121726.2,139520
  добыча полезных ископаемых,74474.1,83178.0,89343.7,95359.0,103473.5,118375.7,130825.6
     добыча угля,53065,59439.0,63352.8,62600.0,73576.6,90716.5,106102.6
     добыча нефти и природного газа,104078.3,127771.0,135363.7,142175.0,149585.1,165623.8,180514.7
     добыча металлических руд,61121.9,70721.0,78519.9,88154.0,96365.2,108316.6,119578.2
  обрабатывающие производства,38501.5,40722.0,43855.0,46510.0,52409.6,60438.7,71273.3
    производство пищевых продуктов,29920.1,32272.0,35175.0,37589.0,42604.5,48466.9,56502.8
    производство напитков,37933.7,40305.0,43204.1,45435.0,49861.5,57248.3,66326.5
    производство табачных изделий,94767.9,100426.0,104081.7,112017.0,108429.9,126445.9,140517.7
    производство текстильных изделий,22370.6,25179.0,26465.7,30101.0,33857.0,38709.4,44822.1
    производство одежды,20298.5,19819.0,21065.4,20927.0,24311.7,27351.7,34049.2
    производство кожи и изделий из кожи,20193,23576.0,25680.3,26913.0,31771.2,36445,44039.1
"    обработка древесины и производство изделий из дерева и пробки, кроме мебели, производство изделий из соломки и материалов для плетения",25656.5,26177.0,29398.9,30864.0,36313.8,40464.4,44434.6
    производство бумаги и бумажных изделий,39630.7,42755.0,47513.1,52275.0,57976.3,66540.4,73402
    деятельность полиграфическая и копирование носителей информации,30898.8,33554.0,34290.7,35708.0,43267.1,52210.1,55609.8
    производство кокса и нефтепродуктов,95956.7,87591.0,81685.2,82106.0,87214.4,97720.3,109541
    производство химических веществ и химических продуктов,45893.8,49159.0,54331.6,57339.0,63701.8,75282.5,87530.8
"    производство лекарственных средств и материалов, применяемых в медицинских целях",54261.5,57644.0,61588.9,71064.0,79568.2,87532.3,98162.4
    производство резиновых и пластмассовых изделий,30621.8,33581.0,35623.4,39662.0,44817.4,51471,61423.1
    производство прочей неметаллической минеральной продукции,30904,34301.0,37986.6,40787.0,46264.6,54046.1,62739.1
    производство металлургическое,49496.4,49982.0,53539.4,56928.0,63232.0,74947.7,85282.6
"    производство готовых металлических изделий, кроме машин о оборудования",35969.9,38431.0,41416.2,44034.0,48425.0,56481.1,69927.6
"    производство компьютеров, электронных и оптических изделий",46928.4,51492.0,53981.9,56672.0,64613.9,74834.5,91219.2
производство электрического оборудования,36285.9,40992.0,43659.9,45693.0,51037.9,59094.6,72790.8
"    производство машин и оборудования, не включенных в другие группировки",37471.8,40036.0,44128.1,47499.0,53730.4,63377.4,74546.4
"    производство автотранспортных средств, прицепов и полуприцепов ",38133.4,42015.0,45378.3,46549.0,53235.8,58517.7,70376.3
    производство прочих транспортных средств и оборудования,44884.4,48033.0,51659.4,53524.0,59789.4,68310.8,83380.9
    производство мебели,22188.1,24213.0,26888.3,27786.0,32224.2,36897.3,43042.3
    производство прочих готовых изделий,27913.1,33214.0,35600.9,39825.0,45131.9,49937.6,56418.9
    ремонт и монтаж машин и оборудования,41879.8,46167.0,49316.6,51789.0,60311.8,68760.3,77694.3
"обеспечение электрической энергией, газом и паром; кондиционирование воздуха",44631.7,47482.0,50381.5,53157.0,57804.2,65452,74351.4
"водоснабжение; водоотведение, организация сбора и утилизации отходов, деятельность по ликвидации загрязнений",29097.2,31586.0,34517.9,36347.0,40038.6,46075.4,52184.8
строительство,33677.9,38518.0,42629.9,44738.0,51944.2,60849.5,68944.4
торговля оптовая и розничная; ремонт автотранспортных средств и мотоциклов,32092.5,35444.0,40137.0,41867.0,50388.8,57806.1,63572.2
транспортировка и хранение,43966.8,47474.0,51160.2,52939.0,58391.3,66925.5,76041.2
деятельность гостиниц и предприятий общественного питания,23970.5,26241.0,28191.4,27411.0,33224.7,37571.7,43191.8
деятельность в области информации и связи,58811.2,66590.0,75898.2,85648.0,97434.4,121262.4,130326.4
деятельность финансовая и страховая,84904,91070.0,103667.8,112680.0,130223.3,146637.1,169105.7
деятельность по операциям с недвижимым имуществом,30208.1,33101.0,36859.4,37628.0,43620.3,48531.3,54611.7
"деятельность профессиональная,научная и техническая",57178.8,66264.0,75192.8,80077.0,87329.4,100842.8,107052.4
  из нее научные исследования и разработки,66177.9,75913.0,82286.9,84973.0,93278.5,108101.6,120393
деятельность административная и сопутствующие дополнительные услуги,27621.5,31706.0,34002.4,37090.0,39225.1,45067.3,49379.4
государственное управление и обеспечение военной безопасности; социальное обеспечение,43499.7,47803.0,50990.5,54496.0,58620.3,63505.2,73860.9
образование,30257.6,34361.0,37071.9,39563.0,43390.5,48400.2,54262.7
деятельность в области здравоохранения и социальных услуг,31980.3,40027.0,43122.1,49532.0,50690.1,55419.6,61485.5
"деятельность в области культуры, спорта, организации досуга и развлечений",38200.1,44439.0,46990.4,48445.0,53340.3,57490.6,64929.1
